ID_Espai,Nom_Espai,Nom_Distri,C_Distri,Nom_Barri,C_Barri,Fase,Àrea,Mes,N_visites,Exc,B_dom,B_ind,Vol
70,"Carrer del Montnegre, 54",Les Corts,4,les Corts,19,Fase 2,1003.76,6,4,1.25,1,2,0.25
27,Jardins de les Tres Torres,Sarrià-Sant Gervasi,5,Sant Gervasi - Galvany,26,Fase 1 i 2,5666.72,6,3,24.67,0.33,0,0
28,Mercat de les Tres Torres,Sarrià-Sant Gervasi,5,les Tres Torres,24,Fase 1 i 2,1966.67,6,2,0.5,0,0,0
29,Parc de Monterols,Sarrià-Sant Gervasi,5,Sant Gervasi - Galvany,26,Fase 1 i 2,2949.62,6,3,7,0,0,0
71,"Carrer del Cardenal Sentmenat, 8",Sarrià-Sant Gervasi,5,Sarrià,23,Fase 2,3127.34,6,2,0.5,0,0.5,0
72,Plaça de Sant Vicenç de Sarrià,Sarrià-Sant Gervasi,5,Sarrià,23,Fase 2,876.9,6,2,0,3,9.5,0
73,"Carrer de Suïssa, 9",Sarrià-Sant Gervasi,5,el Putxet i el Farró,27,Fase 2,625.88,6,3,1.33,0.33,0.33,0
31,"Carrer de les Carolines, 7",Gràcia,6,la Vila de Gràcia,31,Fase 1 i 2,240.54,6,3,0,1,0.33,0
32,Jardins d'Antoni Puigverd,Gràcia,6,el Camp d'en Grassot i Gràcia Nova,32,Fase 1 i 2,3731.4,6,3,3.33,0,0,0
33,Jardins de Menéndez Pelayo,Gràcia,6,la Salut,30,Fase 1 i 2,2771.85,6,3,1.67,0,0,0
34,"Passeig Sant Joan, 206",Gràcia,6,el Camp d'en Grassot i Gràcia Nova,32,Fase 1 i 2,5620.15,6,2,5,0.5,0,0
35,Plaça de La Vila de Gràcia,Gràcia,6,la Vila de Gràcia,31,Fase 1 i 2,2718.56,6,3,0,0,0,0
36,Plaça Lesseps,Gràcia,6,la Vila de Gràcia,31,Fase 1 i 2,4282.02,6,3,2.67,0,0,0
37,Avinguda de Can Baró,Horta-Guinardó,7,Can Baró,34,Fase 1 i 2,3100.01,6,4,0.75,3,1.5,0.25
38,"Carrer del Llobregós, 17",Horta-Guinardó,7,la Font d'en Fargues,36,Fase 1 i 2,5607.8,6,4,0.5,0,0.25,0
39,Jardins del Baix Guinardó,Horta-Guinardó,7,el Baix Guinardó,33,Fase 1 i 2,6160.54,6,4,3.75,0.5,0.75,0.25
40,Plaça de la Font d'en Fargues,Horta-Guinardó,7,la Font d'en Fargues,36,Fase 1 i 2,967.29,6,4,0.75,1,0,0
41,Plaça Pastrana,Horta-Guinardó,7,el Carmel,37,Fase 1 i 2,2725.07,6,4,1,0,0.25,1
42,Plaça Salvador Allende,Horta-Guinardó,7,el Carmel,37,Fase 1 i 2,2338.46,6,4,10.75,0,0,0
44,Carrer de la Font d'en Canyelles,Nou Barris,8,la Prosperitat,52,Fase 1 i 2,851.43,6,4,0.25,1,1,0.5
45,Carrer de Pablo Iglesias (amb carrer del Poeta Masiferm),Nou Barris,8,la Prosperitat,52,Fase 1 i 2,1480.11,6,4,1.25,2,8.75,0.25
46,Carrer dels Arítjols (amb Joaquim Valls),Nou Barris,8,la Prosperitat,52,Fase 1 i 2,497.6,6,4,0,2,1.75,0.25
47,Carrer Romaní (amb Carrer Torres),Nou Barris,8,les Roquetes,50,Fase 1 i 2,1860.23,6,4,0.5,1.75,0.25,1.5
48,Placeta de Charlot,Nou Barris,8,Verdun,51,Fase 1 i 2,328.46,6,4,1.25,1.25,2.75,0.5
74,"Carrer Tissó, 53",Nou Barris,8,la Prosperitat,52,Fase 2,1619.66,6,4,4.25,6.75,7.25,0.25
50,Carrer de la Riera d'Horta,Sant Andreu,9,el Congrés i els Indians,62,Fase 1 i 2,1515.76,6,4,3.5,1.25,0,0
51,Plaça de la Trinitat,Sant Andreu,9,la Trinitat Vella,57,Fase 1 i 2,2581.18,6,4,0,0.5,0,0
75,Plaça de Fèlix Rodríguez de la Fuente,Sant Andreu,9,el Bon Pastor,59,Fase 2,1682.89,6,4,1,5,0,0.5
76,Carrer d'Honduras (Metro La Sagrera),Sant Andreu,9,la Sagrera,61,Fase 2,1443.14,6,4,0.75,1,3,0
77,Jardins de Villa Clara,Sant Andreu,9,el Congrés i els Indians,62,Fase 2,797.81,6,5,1,0.8,0.2,0.6
78,Plaça de Montserrat Roca i Baltà,Sant Andreu,9,Sant Andreu,60,Fase 2,836.01,6,4,1.75,1.25,0.5,0.25
55,Carrer de Cristóbal de Moura,Sant Martí,10,el Besòs i el Maresme,70,Fase 1 i 2,5710.33,6,2,1.5,4.5,1.5,0
